equipment_id,date,days_since_last_service,maintenance_count_30d,maintenance_count_60d,maintenance_count_90d,equipment_class,unit,nmc_within_7d
EQ-00279,2024-08-16,173,1,3,7,wheeled,1-3 BN,False
EQ-00280,2024-12-23,17,4,9,11,engineer,HHC,False
EQ-00281,2024-09-02,126,5,9,14,aviation,DIV CAV,False
EQ-00282,2024-03-28,105,7,10,12,wheeled,BSB,False
EQ-00283,2024-07-25,119,7,8,9,comms,2-1 BN,False
EQ-00284,2024-08-02,82,6,12,17,wheeled,1-3 BN,False
EQ-00285,2024-01-08,170,2,3,7,comms,1-2 BN,False
EQ-00286,2024-02-18,39,4,6,7,wheeled,2-1 BN,True
EQ-00287,2024-03-22,141,4,5,6,aviation,HHC,False
EQ-00288,2024-09-12,41,7,12,12,comms,1-1 BN,False
EQ-00289,2024-02-04,156,4,5,6,aviation,2-1 BN,False
EQ-00290,2024-04-20,79,2,4,9,comms,DIV CAV,False
EQ-00291,2024-08-07,34,8,10,12,engineer,BSB,False
EQ-00292,2024-12-18,122,1,1,4,tracked,1-2 BN,False
EQ-00293,2024-04-17,81,7,13,15,aviation,DIV CAV,False
EQ-00294,2024-06-18,83,3,8,12,tracked,BSB,False
EQ-00295,2024-05-07,5,5,9,9,comms,1-2 BN,False
EQ-00296,2024-11-15,126,7,11,16,aviation,2-1 BN,False
EQ-00297,2024-07-18,71,2,4,4,tracked,1-2 BN,False
EQ-00298,2024-11-20,159,7,11,12,wheeled,1-3 BN,False
EQ-00299,2024-09-05,138,3,9,14,aviation,DIV CAV,False
EQ-00300,2024-11-05,16,3,7,11,wheeled,BSB,False
EQ-00301,2024-07-11,3,4,6,7,comms,1-1 BN,False
EQ-00302,2024-01-15,120,2,5,10,comms,1-2 BN,False
EQ-00303,2024-10-31,28,4,7,9,comms,DIV CAV,False
EQ-00304,2024-08-20,33,5,5,5,aviation,1-3 BN,True
EQ-00305,2024-10-09,81,6,10,10,comms,HHC,False
EQ-00306,2024-06-14,157,0,5,7,comms,BSB,False
EQ-00307,2024-10-18,15,2,5,5,wheeled,1-2 BN,False
EQ-00308,2024-03-18,61,1,7,9,wheeled,1-3 BN,False
EQ-00309,2024-02-11,18,7,10,14,comms,2-1 BN,True
EQ-00310,2024-11-24,141,1,7,8,comms,1-1 BN,False
EQ-00311,2024-05-13,166,8,8,8,tracked,HHC,False
EQ-00312,2024-04-25,,3,9,10,comms,BSB,False
EQ-00313,2024-03-11,100,6,6,10,engineer,2-1 BN,False
EQ-00314,2024-01-13,11,3,7,7,comms,DIV CAV,False
EQ-00315,2024-09-08,21,5,9,10,wheeled,1-2 BN,False
EQ-00316,2024-10-01,160,4,6,10,wheeled,2-1 BN,False
EQ-00317,2024-03-22,66,5,6,8,tracked,2-1 BN,False
EQ-00318,2024-03-02,115,8,14,17,aviation,1-1 BN,False
EQ-00319,2024-01-22,53,3,9,13,comms,1-3 BN,False
EQ-00320,2024-12-19,78,5,8,8,tracked,1-2 BN,False
EQ-00321,2024-10-17,7,4,4,5,aviation,BSB,False
EQ-00322,2024-06-19,100,5,8,11,tracked,1-2 BN,False
EQ-00323,2024-09-08,74,3,3,7,comms,1-1 BN,False
EQ-00324,2024-01-16,3,4,4,6,engineer,HHC,False
EQ-00325,2024-10-17,95,3,8,9,tracked,HHC,False
EQ-00326,2024-07-09,168,0,2,2,wheeled,1-3 BN,False
EQ-00327,2024-03-13,53,1,6,11,aviation,BSB,False
EQ-00328,2024-01-16,29,1,6,7,comms,DIV CAV,False
EQ-00329,2024-12-21,6,7,7,12,engineer,1-2 BN,False
EQ-00330,2024-02-03,8,0,3,6,comms,2-1 BN,False
EQ-00331,2024-03-30,12,1,7,9,wheeled,HHC,False
EQ-00332,2024-09-02,7,4,10,11,tracked,2-1 BN,False
EQ-00333,2024-01-01,112,8,13,16,wheeled,HHC,False
EQ-00334,2024-01-25,154,5,8,11,aviation,1-3 BN,False
EQ-00335,2024-12-03,139,2,4,9,aviation,2-1 BN,False
EQ-00336,2024-03-30,120,5,11,13,engineer,HHC,False
EQ-00337,2024-09-10,111,1,5,7,engineer,1-3 BN,False
EQ-00338,2024-07-02,139,2,2,4,comms,BSB,False
EQ-00339,2024-11-16,139,2,8,12,tracked,BSB,False
EQ-00340,2024-04-15,108,1,5,9,comms,1-1 BN,True
EQ-00341,2024-10-21,141,2,7,8,wheeled,BSB,False
EQ-00342,2024-06-20,96,8,11,15,comms,2-1 BN,False
EQ-00343,2024-04-22,105,1,2,7,engineer,1-2 BN,False
EQ-00344,2024-12-21,130,1,4,5,tracked,HHC,False
EQ-00345,2024-06-05,78,3,7,12,tracked,BSB,False
EQ-00346,2024-04-07,,4,4,5,wheeled,BSB,False
EQ-00347,2024-12-14,116,1,4,6,wheeled,1-1 BN,False
EQ-00348,2024-12-23,100,5,6,8,engineer,DIV CAV,False
EQ-00349,2024-09-01,174,7,7,10,engineer,1-1 BN,False
EQ-00350,2024-05-10,99,8,14,14,comms,DIV CAV,False
EQ-00351,2024-11-13,176,7,7,10,aviation,2-1 BN,True
EQ-00352,2024-02-14,24,1,2,7,comms,HHC,False
EQ-00353,2024-02-18,87,3,7,10,comms,1-3 BN,True
EQ-00354,2024-10-09,106,1,1,6,comms,BSB,False
EQ-00355,2024-12-11,114,1,5,6,wheeled,HHC,False
EQ-00356,2024-10-16,138,0,2,6,comms,DIV CAV,False
EQ-00357,2024-09-08,76,2,2,4,tracked,2-1 BN,False
EQ-00358,2024-02-26,20,3,6,9,tracked,2-1 BN,False
EQ-00359,2024-11-30,12,4,5,6,tracked,HHC,False
EQ-00360,2024-10-25,114,1,1,2,comms,HHC,False
EQ-00361,2024-11-05,,7,9,14,engineer,HHC,False
EQ-00362,2024-09-25,28,6,9,9,aviation,DIV CAV,False
EQ-00363,2024-12-25,23,4,9,11,comms,DIV CAV,False
EQ-00364,2024-05-04,42,1,5,6,tracked,2-1 BN,False
EQ-00365,2024-12-03,68,7,7,12,engineer,2-1 BN,False
EQ-00366,2024-02-29,,3,4,6,engineer,HHC,False
EQ-00367,2024-07-19,131,0,0,4,wheeled,DIV CAV,False
EQ-00368,2024-09-28,36,5,6,9,wheeled,1-2 BN,False
EQ-00369,2024-12-05,55,1,2,5,comms,HHC,False
EQ-00370,2024-10-04,33,8,9,9,wheeled,1-1 BN,False
EQ-00371,2024-10-16,106,5,6,8,tracked,BSB,False
EQ-00372,2024-08-09,102,0,1,6,wheeled,1-3 BN,False
EQ-00373,2024-07-19,58,2,5,9,comms,DIV CAV,False
EQ-00374,2024-07-27,134,4,7,7,tracked,1-1 BN,False
EQ-00375,2024-08-01,38,0,2,4,wheeled,2-1 BN,False
EQ-00376,2024-11-28,138,5,7,10,aviation,2-1 BN,False
EQ-00377,2024-12-18,175,2,5,7,engineer,2-1 BN,True
EQ-00378,2024-06-24,162,1,3,8,engineer,1-3 BN,False
EQ-00379,2024-05-27,81,5,6,10,engineer,1-3 BN,False
EQ-00380,2024-04-08,106,4,6,10,aviation,HHC,False
EQ-00381,2024-04-06,36,4,5,10,engineer,HHC,False
EQ-00382,2024-10-04,119,8,9,9,engineer,1-3 BN,False
EQ-00383,2024-11-22,163,5,6,11,tracked,1-3 BN,False
EQ-00384,2024-05-05,70,7,11,13,comms,DIV CAV,False
EQ-00385,2024-02-06,97,8,11,11,aviation,BSB,True
EQ-00386,2024-05-10,141,4,8,12,comms,1-3 BN,False
EQ-00387,2024-01-27,126,1,4,7,comms,1-1 BN,False
EQ-00388,2024-03-12,14,0,6,6,tracked,DIV CAV,False
EQ-00389,2024-10-01,25,6,7,7,aviation,DIV CAV,False
EQ-00390,2024-01-31,160,4,6,9,wheeled,1-2 BN,False
EQ-00391,2024-11-12,69,8,10,11,engineer,DIV CAV,False
EQ-00392,2024-10-26,44,6,7,11,aviation,1-2 BN,False
EQ-00393,2024-02-16,70,7,7,7,engineer,2-1 BN,False
EQ-00394,2024-04-23,43,2,3,5,tracked,1-2 BN,False
EQ-00395,2024-12-09,154,6,9,10,aviation,BSB,False
EQ-00396,2024-02-11,114,2,7,10,comms,BSB,False
EQ-00397,2024-07-13,70,3,8,11,wheeled,DIV CAV,False
EQ-00398,2024-06-24,,8,12,15,aviation,DIV CAV,False
EQ-00399,2024-04-15,20,6,7,10,aviation,1-3 BN,False
EQ-00400,2024-06-29,75,3,6,10,comms,1-1 BN,False
EQ-00401,2024-12-17,179,1,4,9,engineer,2-1 BN,False
EQ-00402,2024-10-19,6,7,10,15,aviation,2-1 BN,False
EQ-00403,2024-02-15,59,4,6,8,comms,1-2 BN,False
EQ-00404,2024-04-22,154,8,14,15,engineer,2-1 BN,False
EQ-00405,2024-07-05,24,2,2,6,wheeled,1-1 BN,False
EQ-00406,2024-05-08,66,7,8,10,wheeled,2-1 BN,False
EQ-00407,2024-05-22,80,2,6,6,tracked,1-1 BN,False
EQ-00408,2024-11-13,46,4,8,11,wheeled,1-2 BN,False
EQ-00409,2024-04-30,51,1,1,1,wheeled,BSB,False
EQ-00410,2024-04-01,119,8,14,16,engineer,1-2 BN,False
EQ-00411,2024-09-30,3,5,11,12,tracked,DIV CAV,False
EQ-00412,2024-01-11,15,6,7,8,engineer,1-2 BN,True
EQ-00413,2024-03-08,95,4,7,8,tracked,HHC,False
EQ-00414,2024-02-26,156,0,0,3,tracked,1-3 BN,False
EQ-00415,2024-08-23,174,6,10,14,engineer,DIV CAV,False
EQ-00416,2024-08-26,156,6,12,14,engineer,2-1 BN,False
EQ-00417,2024-03-26,33,0,1,1,engineer,1-3 BN,False
EQ-00418,2024-06-01,106,6,9,11,wheeled,1-3 BN,False
EQ-00419,2024-09-06,56,6,12,17,tracked,2-1 BN,False
EQ-00420,2024-10-29,78,6,7,8,tracked,1-2 BN,True
EQ-00421,2024-08-12,120,7,9,10,aviation,2-1 BN,False
EQ-00422,2024-01-27,164,1,3,5,tracked,2-1 BN,True
EQ-00423,2024-07-16,76,5,11,15,comms,1-1 BN,False
EQ-00424,2024-09-02,50,4,8,9,wheeled,1-1 BN,True
EQ-00425,2024-03-15,7,8,9,14,engineer,1-1 BN,False
EQ-00426,2024-08-17,157,7,9,13,comms,1-3 BN,False
EQ-00427,2024-01-27,113,7,10,14,engineer,BSB,True
EQ-00428,2024-10-07,40,6,8,13,engineer,HHC,False
EQ-00429,2024-11-21,51,1,5,8,aviation,1-2 BN,False
EQ-00430,2024-01-22,35,3,6,10,wheeled,BSB,False
EQ-00431,2024-03-18,66,3,3,3,comms,1-1 BN,False
EQ-00432,2024-05-15,57,7,8,13,comms,1-1 BN,False
EQ-00433,2024-12-08,88,5,11,14,comms,1-3 BN,False
EQ-00434,2024-10-22,85,5,9,10,engineer,BSB,False
EQ-00435,2024-10-28,153,3,4,4,engineer,1-3 BN,False
EQ-00436,2024-06-17,104,0,4,6,engineer,1-3 BN,False
EQ-00437,2024-02-24,57,3,6,7,tracked,HHC,False
EQ-00438,2024-10-04,103,6,10,12,engineer,1-2 BN,False
EQ-00439,2024-03-24,170,1,7,9,engineer,1-1 BN,False
EQ-00440,2024-08-11,40,6,9,9,comms,1-3 BN,False
EQ-00441,2024-03-01,126,6,10,11,aviation,BSB,False
EQ-00442,2024-04-30,43,5,6,10,aviation,2-1 BN,False
EQ-00443,2024-02-12,3,2,6,9,wheeled,1-1 BN,False
EQ-00444,2024-12-23,1,7,8,8,tracked,BSB,False
EQ-00445,2024-07-06,23,0,1,3,aviation,1-1 BN,False
EQ-00446,2024-10-25,158,0,6,7,wheeled,2-1 BN,False
EQ-00447,2024-09-08,75,8,8,12,wheeled,1-1 BN,False
EQ-00448,2024-08-24,41,8,8,11,engineer,HHC,False
EQ-00449,2024-05-25,87,2,7,10,wheeled,1-3 BN,False
EQ-00450,2024-09-17,103,6,12,13,aviation,BSB,False
EQ-00451,2024-06-07,119,2,7,8,aviation,1-1 BN,True
EQ-00452,2024-10-27,115,2,3,8,wheeled,BSB,False
EQ-00453,2024-06-19,124,6,9,9,aviation,HHC,False
EQ-00454,2024-12-09,78,3,6,11,engineer,1-2 BN,True
EQ-00455,2024-07-19,13,0,6,8,tracked,BSB,False
EQ-00456,2024-09-11,102,5,8,9,comms,HHC,False
EQ-00457,2024-12-28,146,2,2,3,comms,2-1 BN,False
EQ-00458,2024-02-17,86,2,2,3,comms,DIV CAV,False
EQ-00459,2024-09-10,47,6,6,6,aviation,HHC,False
EQ-00460,2024-06-24,1,1,4,8,engineer,1-2 BN,False
EQ-00461,2024-06-19,101,8,12,16,engineer,1-2 BN,False
EQ-00462,2024-08-10,152,8,10,14,wheeled,2-1 BN,False
EQ-00463,2024-01-23,105,1,4,7,aviation,DIV CAV,False
EQ-00464,2024-10-19,152,3,6,8,tracked,HHC,False
EQ-00465,2024-01-20,149,4,7,9,tracked,1-2 BN,True
EQ-00466,2024-01-21,116,3,6,6,tracked,1-1 BN,False
EQ-00467,2024-05-20,140,6,6,10,engineer,HHC,False
EQ-00468,2024-11-23,170,0,3,7,aviation,HHC,False
EQ-00469,2024-10-09,61,6,10,15,aviation,DIV CAV,False
EQ-00470,2024-12-01,,6,6,8,tracked,2-1 BN,False
EQ-00471,2024-01-11,67,2,7,9,wheeled,2-1 BN,False
EQ-00472,2024-03-23,42,5,5,7,comms,DIV CAV,False
EQ-00473,2024-12-20,20,2,8,8,engineer,1-1 BN,False
EQ-00474,2024-05-02,70,2,2,5,wheeled,DIV CAV,False
EQ-00475,2024-09-30,124,4,10,10,comms,1-1 BN,False
EQ-00476,2024-06-29,49,8,10,15,tracked,DIV CAV,True
EQ-00477,2024-02-14,88,2,6,11,wheeled,2-1 BN,False
EQ-00478,2024-11-19,,6,12,15,aviation,DIV CAV,True
EQ-00479,2024-07-25,159,7,13,17,tracked,1-1 BN,False
EQ-00480,2024-04-26,118,6,8,13,comms,1-1 BN,False
EQ-00481,2024-01-19,147,5,5,10,comms,HHC,False
EQ-00482,2024-06-22,2,5,11,14,comms,BSB,False
EQ-00483,2024-02-19,30,2,5,8,engineer,DIV CAV,False
EQ-00484,2024-06-23,9,5,6,8,wheeled,2-1 BN,False
EQ-00485,2024-05-30,15,4,9,10,wheeled,BSB,False
EQ-00486,2024-07-13,106,1,5,7,tracked,1-3 BN,True
EQ-00487,2024-06-02,,4,6,7,comms,BSB,False
EQ-00488,2024-03-11,26,5,5,5,engineer,BSB,False
EQ-00489,2024-06-19,47,3,7,7,aviation,1-3 BN,False
EQ-00490,2024-06-08,21,8,12,17,engineer,DIV CAV,False
EQ-00491,2024-12-02,104,0,2,5,aviation,1-3 BN,True
EQ-00492,2024-05-17,25,0,0,3,wheeled,BSB,True
EQ-00493,2024-07-03,68,2,6,10,comms,1-2 BN,False
EQ-00494,2024-02-11,167,1,6,6,aviation,HHC,False
EQ-00495,2024-12-28,175,8,9,12,tracked,DIV CAV,True
EQ-00496,2024-05-19,49,7,11,12,engineer,1-2 BN,True
EQ-00497,2024-11-09,136,4,6,7,comms,DIV CAV,False
EQ-00498,2024-07-29,64,1,6,9,engineer,DIV CAV,False
EQ-00499,2024-09-11,104,3,8,10,wheeled,DIV CAV,False
EQ-00500,2024-04-04,172,3,4,9,engineer,1-2 BN,True
EQ-00501,2024-01-24,35,3,5,5,wheeled,HHC,False
EQ-00502,2024-04-17,4,6,6,8,wheeled,1-2 BN,False
EQ-00503,2024-03-16,84,6,9,14,wheeled,1-3 BN,False
EQ-00504,2024-08-15,38,3,6,8,tracked,HHC,False
EQ-00505,2024-12-05,71,6,6,8,tracked,2-1 BN,True
EQ-00506,2024-03-22,16,7,11,13,wheeled,1-1 BN,False
EQ-00507,2024-05-27,46,6,12,12,tracked,BSB,False
EQ-00508,2024-09-28,90,4,9,10,wheeled,HHC,False
EQ-00509,2024-05-21,70,2,5,6,comms,1-2 BN,False
EQ-00510,2024-01-09,99,3,7,11,tracked,1-2 BN,False
EQ-00511,2024-02-26,134,4,9,9,aviation,HHC,False
EQ-00512,2024-09-21,6,1,5,5,aviation,1-3 BN,False
EQ-00513,2024-05-09,172,8,14,18,tracked,DIV CAV,False
EQ-00514,2024-04-03,1,2,2,4,comms,BSB,False
EQ-00515,2024-10-10,1,7,8,9,comms,1-3 BN,False
EQ-00516,2024-08-05,70,3,8,11,aviation,DIV CAV,False
EQ-00517,2024-10-16,98,7,11,12,engineer,1-3 BN,False
EQ-00518,2024-01-24,62,8,10,13,aviation,DIV CAV,False
EQ-00519,2024-01-09,36,3,6,6,wheeled,2-1 BN,False
EQ-00520,2024-09-30,141,7,12,13,wheeled,1-2 BN,False
EQ-00521,2024-04-21,66,0,4,7,aviation,1-3 BN,False
EQ-00522,2024-11-25,54,1,3,4,engineer,1-1 BN,False
EQ-00523,2024-05-08,162,3,3,6,engineer,DIV CAV,False
EQ-00524,2024-03-26,126,3,9,12,wheeled,1-1 BN,False
EQ-00525,2024-02-15,148,4,4,7,engineer,1-3 BN,False
EQ-00526,2024-08-19,7,1,6,10,engineer,1-3 BN,True
EQ-00527,2024-04-08,60,0,5,6,tracked,1-2 BN,False
EQ-00528,2024-04-11,16,7,8,12,tracked,1-1 BN,False
EQ-00529,2024-04-14,77,6,7,12,aviation,1-2 BN,True
EQ-00530,2024-08-30,,5,5,9,comms,BSB,False
EQ-00531,2024-08-03,41,3,3,4,wheeled,2-1 BN,False
EQ-00532,2024-04-27,134,8,13,17,tracked,DIV CAV,False
EQ-00533,2024-10-26,41,8,13,17,aviation,2-1 BN,False
EQ-00534,2024-08-05,114,4,6,8,tracked,HHC,False
EQ-00535,2024-01-11,97,8,11,11,tracked,1-1 BN,False
EQ-00536,2024-12-21,59,8,14,14,tracked,2-1 BN,False
EQ-00537,2024-11-28,35,0,4,5,engineer,1-2 BN,False
EQ-00538,2024-03-05,131,8,8,9,tracked,1-1 BN,False
EQ-00539,2024-06-22,67,4,6,10,engineer,1-2 BN,False
EQ-00540,2024-01-23,53,2,8,9,comms,1-1 BN,False
EQ-00541,2024-09-22,19,6,11,16,tracked,HHC,False
EQ-00542,2024-06-13,71,5,5,5,comms,BSB,False
EQ-00543,2024-01-14,8,1,3,4,wheeled,BSB,False
EQ-00544,2024-11-22,177,3,6,6,engineer,DIV CAV,False
EQ-00545,2024-11-27,162,0,5,6,aviation,1-3 BN,False
EQ-00546,2024-07-13,130,4,10,12,wheeled,1-1 BN,False
EQ-00547,2024-10-06,148,8,11,13,tracked,BSB,False
EQ-00548,2024-02-09,74,8,12,12,tracked,2-1 BN,False
EQ-00549,2024-01-21,7,0,4,4,engineer,1-3 BN,True
EQ-00550,2024-05-05,88,1,3,8,comms,DIV CAV,False
EQ-00551,2024-03-17,32,3,6,7,comms,DIV CAV,False
EQ-00552,2024-04-26,13,5,7,8,aviation,2-1 BN,False
EQ-00553,2024-01-22,161,7,7,10,engineer,2-1 BN,False
EQ-00554,2024-11-04,159,5,11,11,engineer,BSB,False
EQ-00555,2024-11-21,17,0,2,2,engineer,BSB,False
EQ-00556,2024-07-19,32,8,12,17,aviation,HHC,True
EQ-00557,2024-05-12,122,7,8,12,tracked,HHC,False
EQ-00558,2024-04-06,103,4,5,6,engineer,1-2 BN,False
EQ-00559,2024-12-22,76,2,6,10,comms,HHC,False
EQ-00560,2024-06-06,6,3,6,11,comms,HHC,False
EQ-00561,2024-09-27,80,4,4,7,comms,BSB,False
EQ-00562,2024-07-18,162,6,7,9,aviation,1-3 BN,False
EQ-00563,2024-05-28,59,5,7,11,wheeled,1-3 BN,False
EQ-00564,2024-04-08,121,6,8,11,wheeled,BSB,False
EQ-00565,2024-05-28,136,8,8,9,engineer,1-3 BN,False
EQ-00566,2024-05-03,133,2,8,10,engineer,1-2 BN,False
EQ-00567,2024-08-26,16,5,5,7,engineer,1-1 BN,False
EQ-00568,2024-05-29,56,3,9,11,tracked,DIV CAV,False
EQ-00569,2024-05-11,32,6,11,12,engineer,BSB,False
EQ-00570,2024-02-22,154,7,11,14,wheeled,BSB,False
EQ-00571,2024-03-04,,3,4,8,engineer,HHC,False
EQ-00572,2024-04-11,104,5,6,6,comms,BSB,False
EQ-00573,2024-01-18,157,8,11,13,wheeled,1-1 BN,False
EQ-00574,2024-08-24,142,8,8,8,engineer,1-2 BN,False
EQ-00575,2024-01-14,86,6,6,10,wheeled,DIV CAV,False
EQ-00576,2024-09-25,97,5,8,13,wheeled,1-3 BN,False
EQ-00577,2024-05-25,107,0,4,9,engineer,1-3 BN,False
EQ-00578,2024-11-08,15,1,3,7,aviation,1-1 BN,True
EQ-00579,2024-09-26,139,4,5,6,engineer,2-1 BN,False
EQ-00580,2024-06-24,105,3,4,9,wheeled,1-2 BN,False
EQ-00581,2024-11-06,19,3,6,8,engineer,2-1 BN,False
EQ-00582,2024-02-09,10,4,5,9,wheeled,HHC,False
EQ-00583,2024-01-22,87,3,6,9,aviation,BSB,False
EQ-00584,2024-01-24,30,2,5,5,engineer,1-2 BN,False
EQ-00585,2024-01-29,93,6,9,13,engineer,BSB,True
EQ-00586,2024-01-14,117,1,3,8,comms,1-2 BN,False
EQ-00587,2024-04-21,92,0,6,9,aviation,1-2 BN,False
EQ-00588,2024-08-11,161,7,10,14,engineer,1-2 BN,False
EQ-00589,2024-11-14,68,4,9,9,tracked,1-3 BN,False
EQ-00590,2024-10-10,115,3,5,7,wheeled,BSB,False
EQ-00591,2024-12-07,136,2,5,5,engineer,HHC,False
EQ-00592,2024-07-10,14,1,6,8,engineer,HHC,False
EQ-00593,2024-01-10,130,5,9,13,engineer,BSB,False
EQ-00594,2024-05-28,5,7,9,13,aviation,2-1 BN,False
EQ-00595,2024-11-02,161,6,12,16,engineer,2-1 BN,False
EQ-00596,2024-12-02,165,7,7,11,aviation,DIV CAV,False
EQ-00597,2024-07-06,146,3,4,6,engineer,1-3 BN,False
EQ-00598,2024-01-11,146,3,4,5,engineer,BSB,False
EQ-00599,2024-04-24,111,6,10,14,aviation,1-1 BN,False
EQ-00600,2024-07-27,143,7,8,11,engineer,2-1 BN,False
EQ-00601,2024-08-01,45,3,5,9,wheeled,HHC,False
EQ-00602,2024-04-26,84,5,10,11,engineer,DIV CAV,False
EQ-00603,2024-03-11,73,0,2,5,engineer,1-1 BN,False
EQ-00604,2024-03-13,88,0,4,5,engineer,BSB,False
EQ-00605,2024-07-02,112,4,4,8,engineer,2-1 BN,False
EQ-00606,2024-06-25,56,0,4,7,comms,1-1 BN,False
EQ-00607,2024-12-10,136,5,9,11,tracked,BSB,False
EQ-00608,2024-03-02,69,6,10,11,aviation,BSB,False
EQ-00609,2024-06-08,11,0,6,7,engineer,1-2 BN,False
EQ-00610,2024-01-01,132,6,10,13,wheeled,2-1 BN,False
EQ-00611,2024-02-02,100,8,9,9,wheeled,1-2 BN,True
EQ-00612,2024-11-09,7,0,0,3,aviation,DIV CAV,False
EQ-00613,2024-11-27,162,1,7,12,aviation,2-1 BN,False
EQ-00614,2024-07-27,134,3,9,13,tracked,HHC,False
EQ-00615,2024-07-29,95,3,8,10,tracked,2-1 BN,False
EQ-00616,2024-08-13,101,2,2,7,comms,1-2 BN,False
EQ-00617,2024-07-25,153,2,4,4,comms,1-1 BN,False
EQ-00618,2024-09-08,13,2,6,11,comms,1-1 BN,False
EQ-00619,2024-05-14,135,8,10,10,wheeled,1-2 BN,False
EQ-00620,2024-04-13,34,5,7,12,comms,1-2 BN,False
EQ-00621,2024-06-25,140,1,4,4,comms,1-2 BN,False
EQ-00622,2024-12-13,42,0,3,3,wheeled,2-1 BN,False
EQ-00623,2024-05-01,82,2,5,8,engineer,1-3 BN,False
EQ-00624,2024-07-11,115,1,6,10,wheeled,1-3 BN,False
EQ-00625,2024-10-30,44,5,5,6,wheeled,1-3 BN,False
EQ-00626,2024-09-18,25,6,8,10,wheeled,1-2 BN,False
EQ-00627,2024-08-19,27,6,9,13,tracked,1-2 BN,True
EQ-00628,2024-08-25,44,2,2,2,comms,HHC,False
EQ-00629,2024-02-17,151,8,14,15,comms,1-2 BN,True
EQ-00630,2024-05-13,108,2,6,10,engineer,BSB,False
EQ-00631,2024-09-08,110,3,9,13,engineer,1-1 BN,False
EQ-00632,2024-09-20,82,6,6,8,tracked,BSB,False
EQ-00633,2024-08-18,180,8,13,18,wheeled,HHC,False
EQ-00634,2024-03-01,16,6,12,15,comms,2-1 BN,False
EQ-00635,2024-09-22,4,5,11,11,tracked,1-2 BN,False
EQ-00636,2024-02-13,162,5,7,12,tracked,2-1 BN,False
EQ-00637,2024-12-13,,5,9,12,aviation,HHC,False
EQ-00638,2024-05-15,19,8,13,14,comms,DIV CAV,True
EQ-00639,2024-03-12,117,0,4,8,aviation,HHC,False
EQ-00640,2024-05-17,156,8,10,14,tracked,1-2 BN,False
EQ-00641,2024-03-05,9,3,8,12,wheeled,HHC,False
EQ-00642,2024-11-02,75,2,4,8,aviation,HHC,False
EQ-00643,2024-11-08,17,1,3,5,engineer,DIV CAV,False
EQ-00644,2024-09-16,10,7,7,9,comms,1-2 BN,False
EQ-00645,2024-10-05,123,3,7,12,comms,DIV CAV,False
EQ-00646,2024-08-19,20,1,6,11,aviation,2-1 BN,False
EQ-00647,2024-09-10,99,8,9,13,engineer,2-1 BN,False
EQ-00648,2024-09-15,40,2,4,8,comms,2-1 BN,False
EQ-00649,2024-01-20,135,0,3,8,engineer,HHC,False
EQ-00650,2024-05-01,69,0,5,7,aviation,2-1 BN,False
EQ-00651,2024-07-14,117,0,0,5,engineer,1-3 BN,False
EQ-00652,2024-10-04,88,5,7,9,tracked,DIV CAV,False
EQ-00653,2024-07-20,51,2,4,8,comms,HHC,False
EQ-00654,2024-05-06,148,4,10,13,tracked,1-2 BN,False
EQ-00655,2024-04-09,147,1,3,6,engineer,1-1 BN,False
EQ-00656,2024-12-16,87,7,8,10,aviation,DIV CAV,False
EQ-00657,2024-03-28,57,3,5,9,comms,HHC,False
EQ-00658,2024-07-08,130,1,5,10,wheeled,1-3 BN,False
EQ-00659,2024-01-14,99,8,10,10,comms,BSB,False
EQ-00660,2024-09-06,58,0,1,3,aviation,1-1 BN,False
EQ-00661,2024-12-11,20,1,4,8,engineer,1-1 BN,False
EQ-00662,2024-04-11,86,3,5,5,engineer,1-3 BN,False
EQ-00663,2024-04-17,84,4,7,7,comms,1-3 BN,False
EQ-00664,2024-04-13,45,5,9,10,wheeled,2-1 BN,False
EQ-00665,2024-09-25,110,7,13,15,wheeled,DIV CAV,True
EQ-00666,2024-05-16,165,1,3,3,tracked,1-3 BN,True
EQ-00667,2024-03-31,136,1,6,10,comms,DIV CAV,False
EQ-00668,2024-01-31,34,7,7,9,engineer,1-2 BN,False
EQ-00669,2024-09-20,90,6,7,8,engineer,DIV CAV,False
EQ-00670,2024-08-07,84,8,11,14,comms,1-3 BN,False
EQ-00671,2024-06-01,87,8,10,15,tracked,1-3 BN,False
EQ-00672,2024-10-04,109,5,11,13,aviation,BSB,False
EQ-00673,2024-11-10,33,4,8,8,aviation,BSB,False
EQ-00674,2024-12-20,7,2,8,8,comms,1-1 BN,False
EQ-00675,2024-03-20,59,3,3,4,aviation,BSB,False
EQ-00676,2024-02-29,18,3,3,5,aviation,1-1 BN,False
EQ-00677,2024-09-24,109,8,13,14,tracked,1-3 BN,False
EQ-00678,2024-06-04,135,6,9,13,aviation,HHC,False
EQ-00679,2024-09-08,177,3,6,9,tracked,BSB,False
EQ-00680,2024-08-13,39,0,1,3,aviation,HHC,False
EQ-00681,2024-12-26,74,3,3,7,tracked,BSB,False
EQ-00682,2024-03-29,28,2,3,3,engineer,DIV CAV,False
EQ-00683,2024-03-14,160,1,1,4,wheeled,1-1 BN,False
EQ-00684,2024-09-23,126,2,3,8,tracked,1-3 BN,False
EQ-00685,2024-01-13,121,6,10,15,engineer,2-1 BN,True
EQ-00686,2024-03-31,123,7,9,11,tracked,1-3 BN,False
